"X","TLID","STATEFP","COUNTYFP","TFIDL","TFIDR","MTFCC","FULLNAME","SMID","LFROMADD","LTOADD","RFROMADD","RTOADD","ZIPL","ZIPR","Length","CLASS","RDTYPE","Main","DeadEnd","Cluster","unit_N","unit_N_orig","property_N","parcel_N","BG_ID_10","CT_ID_10"
8154,85712465,25,25,205868580,205872052,"S1400","Bakersfield St",2758," "," ","21","25",0,2125,20.83,5,5,0,0,0,0,0,0,0,250250912001,25025091200
8155,85701446,25,25,205870403,205872054,"S1400","Warren St",2758,"486","504","489","501",2121,2121,62.13,4,4,1,0,1,25,25,6,6,250250820003,25025082000
8156,85701383,25,25,260981999,205872054,"S1400","Wabon St",2758,"2","98","1","99",2121,2121,272.57,5,5,0,0,2,74,74,31,31,250250820003,25025082000
8157,85701472,25,25,205872477,260981999,"S1400","Warren St",2758,"530","534","515","533",2121,2121,40.61,4,4,1,0,7,18,18,2,2,250250820003,25025082000
8158,85701478,25,25,205872059,205872057,"S1400","Crawford St",2758,"2","38","1","37",2121,2121,259.11,5,5,0,0,1,74,74,22,21,250250820002,25025082000
8159,85701412,25,25,205872453,205872058,"S1400","Elm Hill Ave",2758,"76","86","75","79",2121,2121,45.02,5,5,0,0,2,14,14,3,3,250250821003,25025082100
8160,85701529,25,25,205872464,205872059,"S1400","Georgia St",2758,"18","30"," "," ",2121,0,53.7,5,5,0,0,5,31,0,1,1,250250821001,25025082100
8161,85701461,25,25,205870403,205872060,"S1400","Carlisle St",2758,"10","98","1","99",2121,2121,122.6,5,5,0,1,2,17,17,12,12,250250820001,25025082000
8162,85701492,25,25,205872061,205872061,"S1400","Holborn Park",2758,"1","99","98","2",2121,2121,53.57,5,5,0,1,4,6,6,6,6,250250820001,25025082000
8163,85704407,25,25,205872064,205872063,"S1400","Summer St",2758,"44","54","41","53",2136,2136,92.57,5,5,0,0,2,13,13,8,8,250251401071,25025140107
8164,85704352,25,25,205871670,205872063,"S1400","Summer St",2758,"56","198","55","199",2136,2136,414.37,5,5,0,0,4,74,74,45,43,250251401071,25025140107
8165,85704416,25,25,205872068,205872063,"S1400","River St",2758,"1296","1298","1309","1313",2136,2136,23.93,4,4,1,0,0,0,0,0,0,250251403003,25025140300
8166,85704408,25,25,205872075,205872063,"S1400","Summer St",2758,"2","42","1","39",2136,2136,231.83,5,5,0,0,2,33,33,18,16,250251401071,25025140107
8167,85734909,25,25,205863960,205872065,"S1400"," ",2758," "," "," "," ",0,0,102.75,5,5,0,0,0,0,0,0,0,250251403002,25025140300
8168,85704442,25,25,205872070,205872065,"S1400","Hyde Park Ave",2758,"1134","1140","1127","1131",2136,2136,44.51,4,4,1,0,4,3,3,3,3,250251403002,25025140300
8169,85731914,25,25,205872082,205872065,"S1400","Hyde Park Ave",2758,"1248","1258","1253","1265",2136,2136,49.1,4,4,1,0,3,18,18,2,2,250251403002,25025140300
8170,85737893,25,25,205872065,205872065,"S1400"," ",2758," "," "," "," ",0,0,87.7,5,5,0,0,0,0,0,0,0,250251403002,25025140300
8171,85704441,25,25,205872069,205872066,"S1400","West St",2758,"112","134","117","135",2136,2136,123.04,4,4,1,0,2,47,17,12,12,250251403002,25025140300
8172,85721333,25,25,262485959,262485959,"S1400","Woodland Pl",0,"57","99","56","98",2136,2136,10.86,5,5,0,1,0,0,0,0,0,250251403003,25025140300
8173,85704495,25,25,205872083,205872082,"S1400","River St",2758,"1224","1274","1215","1273",2136,2136,160.4,4,4,1,0,3,68,68,8,8,250251403002,25025140300
8174,85704500,25,25,205872108,205872085,"S1400","Oak St",2758,"28","98","27","99",2136,2136,277.94,5,5,0,0,2,49,49,25,25,250251403003,25025140300
8175,85729198,25,25,205871591,205872086,"S1400","Park St",2758,"18","98","21","99",2136,2136,65.94,5,5,0,0,4,2,2,2,2,250251401052,25025140105
