TLID,LST_weighted,LST_CT
85694776,0.512576599,0.547035484
85694775,0.51381774,0.547035484
85726981,0.46498735,0.547035484
85694781,0.545737479,0.547035484
85694728,0.5390716170000001,0.547035484
85694833,0.553836974,0.547035484
85694778,0.538971045,0.547035484
85694767,0.45634805799999995,0.547035484
85694766,0.39844793700000003,0.547035484
85694744,0.52971766,0.547035484
85694748,0.487938849,0.547035484
85694770,0.537232846,0.547035484
85694723,0.464894521,0.547035484
85694693,0.488631286,0.547035484
85694772,0.5468726829999999,0.547035484
85694773,0.5015856710000001,0.547035484
85694863,0.434810518,0.547035484
85694725,0.41742893200000003,0.547035484
85694694,0.478525501,0.547035484
85694825,0.602644053,0.547035484
85694743,0.5267221639999999,0.547035484
85694769,0.560887851,0.547035484
85694779,0.545238027,0.547035484
85694750,0.364519164,0.547035484
85694695,0.427569022,0.547035484
85694824,0.602061955,0.547035484
85694747,0.5157542970000001,0.547035484
85694771,0.562218043,0.547035484
85694697,0.469628134,0.547035484
85694746,0.489682977,0.547035484
85694696,0.458921523,0.547035484
85694710,0.526445652,0.547035484
85694855,0.608309954,0.6013093620000001
85694853,0.5915438679999999,0.6013093620000001
85695036,0.417481596,0.6013093620000001
85694834,0.527668682,0.6013093620000001
85694877,0.652244054,0.6013093620000001
85694837,0.482186337,0.6013093620000001
85694880,0.44614850799999994,0.6013093620000001
85727039,0.43532479700000004,0.6013093620000001
85695072,0.5533463439999999,0.6013093620000001
85694884,0.6532631179999999,0.6013093620000001
85694826,0.532563682,0.6013093620000001
85726992,0.538419515,0.6013093620000001
85695031,0.487685986,0.6013093620000001
85694832,0.53828321,0.6013093620000001
85694882,0.558739935,0.6013093620000001
85695070,0.6214391260000001,0.6013093620000001
85722278,0.55224777,0.6013093620000001
85695055,0.770564004,0.6013093620000001
85695042,0.504605403,0.6013093620000001
85694876,0.480896791,0.6013093620000001
85695199,0.43831533799999994,0.6013093620000001
85695033,0.494018465,0.6013093620000001
85722277,0.476928901,0.6013093620000001
85694961,0.712388872,0.6013093620000001
85694835,0.5113900370000001,0.6013093620000001
639000430,0.40629997,0.6013093620000001
85722271,0.508858995,0.6013093620000001
85722272,0.492244821,0.6013093620000001
639001298,0.505951441,0.6013093620000001
85695034,0.43840950100000003,0.6013093620000001
85694847,0.441020934,0.6013093620000001
85694956,0.71726826,0.6013093620000001
85694881,0.45400488200000005,0.6013093620000001
85694842,0.459917626,0.6013093620000001
85695043,0.525261565,0.6013093620000001
85695035,0.468677384,0.6013093620000001
85694872,0.45787441799999995,0.6013093620000001
85695077,0.69545933,0.6013093620000001
85695075,0.6152369360000001,0.6013093620000001
85725326,0.561966115,0.6013093620000001
85694843,0.428920929,0.6013093620000001
85719141,0.572422103,0.6013093620000001
85695044,0.469889459,0.6013093620000001
85694883,0.523509061,0.6013093620000001
85694873,0.489616936,0.6013093620000001
85694860,0.522390259,0.6013093620000001
85694866,0.5267221639999999,0.6013093620000001
85694869,0.495701348,0.6013093620000001
85694864,0.46594856799999995,0.6013093620000001
85694862,0.478214497,0.6013093620000001
85719140,0.514270511,0.6013093620000001
